Method,Frobenius Error,Diamond Error,Time(s)
ALS-$N^2$,2.36e-03 $\pm$1.65e-04,3.36e-03 $\pm$7.20e-04,3.66e+00 $\pm$5.08e-01
ALS-P,3.05e-01 $\pm$3.38e-01,6.81e-01 $\pm$7.50e-01,9.70e-02 $\pm$2.48e-02
ALS-N,2.51e-03 $\pm$1.72e-04,3.47e-03 $\pm$6.61e-04,2.89e-02 $\pm$9.06e-03
ALS-I,3.06e-03 $\pm$4.45e-04,4.33e-03 $\pm$6.63e-04,1.34e-02 $\pm$5.89e-03
